id,cluster
1,4
2,2
3,4
4,2
5,1
6,2
7,4
8,4
9,2
10,4
11,4
12,4
13,2
14,4
15,2
16,4
17,2
18,2
19,2
20,4
21,2
22,1
23,2
24,2
25,4
26,2
27,1
28,2
29,4
30,4
31,4
32,4
33,4
34,2
35,0
36,2
37,0
38,2
39,0
40,2
41,1
42,2
43,0
44,1
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,0
61,2
62,2
63,2
64,2
65,0
66,0
67,1
68,0
69,2
70,0
71,2
72,2
73,2
74,0
75,2
76,0
77,2
78,0
79,3
80,0
81,2
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,0
95,3
96,2
97,3
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,3
108,3
109,3
110,2
111,2
112,2
113,3
114,3
115,3
116,3
117,2
118,3
119,3
120,3
121,3
122,3
123,2
124,3
125,3
126,3
127,3
128,3
129,2
130,3
131,3
132,3
133,3
134,3
135,2
136,1
137,2
138,2
139,1
140,1
141,1
142,1
143,2
144,1
145,1
146,2
147,4
148,2
149,1
150,2
151,1
152,2
153,1
154,1
155,1
156,2
157,2
158,2
159,1
160,2
161,4
162,2
163,4
164,4
165,4
166,4
167,2
168,4
169,1
170,2
171,2
172,2
173,2
174,2
175,2
176,4
177,2
178,2
179,2
180,2
181,2
182,2
183,1
184,2
185,2
186,1
187,1
188,4
189,2
190,2
191,2
192,2
193,1
194,2
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,2
205,2
206,2
207,2
208,2
209,3
210,3
211,3
212,3
